market,funding_rounds.mn,funding_rounds.var,funding_total_usd.mn,funding_total_usd.var,venture.mn,venture.var,seed.mn,seed.var,n
 Innovation Engineering ,3,2,17489667.5,7.91755E+12,15500000,8.00E+12,1989667.5,213521112.5,2
 Innovation Management ,1,0,5400000,3.70E+13,4850000,4.70E+13,0,0,2
 Intelligent Systems ,3,2,6076099.5,3.00483E+13,4363599.5,3.8082E+13,862500,1.40281E+12,2
 iPod Touch ,2,2,1369000,3.22E+12,0,0,1369000,3.22E+12,2
 Kinect ,2,2,850000,2.45E+11,0,0,6.00E+05,7.20E+11,2
 Lead Management ,2.5,0.5,20332500,7.73621E+14,20307500,7.75589E+14,25000,1.25E+09,2
 Licensing ,3.5,4.5,8784478,1.03233E+14,7984478,1.27504E+14,8.00E+05,1.28E+12,2
 Medical Marijuana Patients ,1,0,137500,2812500000,87500,15312500000,0,0,2
 MicroBlogging ,3,2,2350000,4.81E+12,1750000,6.13E+12,125000,3.13E+10,2
 Mobile Infrastructure ,2.5,0.5,18235300,2.25344E+14,18135300,2.2961E+14,1.00E+05,2.00E+10,2
 Nightclubs ,2,2,65000,4.50E+08,0,0,55000,5.00E+07,2
 Nutrition ,1,0,97500,1012500000,0,0,37500,2812500000,2
 Offline Businesses ,3,2,16362500,1.85763E+14,12150000,1.23E+14,1212500,2.94031E+12,2
 Outdoor Advertising ,3,2,1582500,4.71552E+12,1.00E+06,2.00E+12,582500,5.73521E+11,2
 Physicians ,6,18,252104326.5,5.47115E+16,50625000,2.19E+15,0,0,2
 Polling ,1.5,0.5,360000,7.22E+10,0,0,360000,7.22E+10,2
 Portals ,1.5,0.5,2700000,5.78E+12,2700000,5.78E+12,0,0,2
 Procurement ,1,0,802500,78012500000,5.00E+05,5.00E+11,0,0,2
 Real Estate Investors ,1,0,4130000,2.55E+12,2630000,1.38E+13,1500000,4.50E+12,2
 Search Marketing ,2,2,27450000,1.20E+15,27450000,1.20E+15,0,0,2
 Semiconductor Manufacturing Equipment ,2,2,19550000,1.50E+14,19550000,1.50E+14,0,0,2
 Senior Health ,1,0,1250000,2.65E+12,0,0,0,0,2
 Skill Assessment ,2.5,4.5,1985000,7.74E+12,0,0,1344000,3.52E+12,2
 Social CRM ,4.5,0.5,49175000,1.60E+15,46750000,1.89E+15,2425000,1.18E+13,2
 Social Media Management ,1,0,710000,9.52E+11,0,0,710000,9.52E+11,2
 Social Television ,2,2,2045000,6.44E+12,725000,4.51E+11,1320000,3.48E+12,2
 Sporting Goods ,1,0,1309000,2.84E+12,1250000,3.13E+12,59000,6.96E+09,2
 Staffing Firms ,1,0,67500,2112500000,0,0,67500,2112500000,2
 Test and Measurement ,5.5,24.5,13267753.5,3.25521E+14,7800000,1.22E+14,2566431.5,1.2019E+13,2
 Trusted Networks ,2,2,7555000,1.11E+14,3250000,2.11E+13,55000,6.05E+09,2
 Virtual Workforces ,1,0,16250000,3.78E+14,1.50E+07,4.50E+14,0,0,2
 Water Purification ,2,2,16663804,4.13925E+14,16476304,4.24785E+14,0,0,2
 Wealth Management ,3,8,66750000,7.88E+15,63250000,8.00E+15,2.00E+06,8.00E+12,2
 Windows Phone 7 ,5,8,9604639,8.18013E+13,8050000,1.26E+14,597500,7.14013E+11,2
 Advertising Exchanges ,5,NA,75511200,NA,75511200,NA,0,NA,1
 Algorithms ,5,NA,545000,NA,0,NA,545000,NA,1
 Alumni ,1,NA,610000,NA,0,NA,0,NA,1
 Angels ,2,NA,1600000,NA,0,NA,1400000,NA,1
 Animal Feed ,1,NA,4600000,NA,0,NA,0,NA,1
 App Discovery ,2,NA,1850000,NA,1600000,NA,0,NA,1
 Assisitive Technology ,1,NA,1300000,NA,1300000,NA,0,NA,1
 Baby Boomers ,1,NA,167000,NA,0,NA,167000,NA,1
 Bicycles ,1,NA,150000,NA,150000,NA,0,NA,1
 Biometrics ,4,NA,5.00E+05,NA,0,NA,250000,NA,1
 Biotechnology and Semiconductor ,2,NA,13486929,NA,9486929,NA,0,NA,1
 Brokers ,4,NA,8.60E+07,NA,8.60E+07,NA,0,NA,1
 Cable ,2,NA,8704000,NA,8500000,NA,204000,NA,1
 Certification Test ,2,NA,1.30E+07,NA,1.30E+07,NA,0,NA,1
 College Campuses ,1,NA,1.00E+05,NA,0,NA,1.00E+05,NA,1
 College Recruiting ,2,NA,228000,NA,0,NA,0,NA,1
 Commercial Solar ,1,NA,2500000,NA,2500000,NA,0,NA,1
 Commodities ,2,NA,8020000,NA,0,NA,0,NA,1
 Consumer Behavior ,4,NA,3110000,NA,0,NA,250000,NA,1
 Contests ,1,NA,20000,NA,0,NA,20000,NA,1
 Corporate Wellness ,5,NA,6118000,NA,6100000,NA,18000,NA,1
 Cosmetic Surgery ,1,NA,115119,NA,115119,NA,0,NA,1
 Creative Industries ,4,NA,19044025,NA,1.70E+07,NA,0,NA,1
 Cyber ,2,NA,3300000,NA,3300000,NA,0,NA,1
 Data Center Automation ,8,NA,62750002,NA,57750002,NA,0,NA,1
 Data Privacy ,6,NA,16665000,NA,7500000,NA,140000,NA,1
 Dental ,3,NA,64058512,NA,14058512,NA,0,NA,1
 Designers ,1,NA,5900000,NA,5900000,NA,0,NA,1
 Digital Rights Management ,1,NA,1.50E+07,NA,1.50E+07,NA,0,NA,1
 Direct Sales ,1,NA,18000,NA,0,NA,18000,NA,1
 Distributed Generation ,1,NA,3.00E+07,NA,3.00E+07,NA,0,NA,1
 Distributors ,2,NA,1104641,NA,104641,NA,0,NA,1
 Early-Stage Technology ,1,NA,2650000,NA,2650000,NA,0,NA,1
 EBooks ,1,NA,150000,NA,0,NA,150000,NA,1
 Electrical Distribution ,2,NA,16393157,NA,16393157,NA,0,NA,1
 Email Newsletters ,1,NA,50000,NA,0,NA,50000,NA,1
 Emerging Markets ,2,NA,2.50E+07,NA,2.50E+07,NA,0,NA,1
 English-Speaking ,1,NA,1750000,NA,0,NA,1750000,NA,1
 Enterprise 2.0 ,3,NA,11298100,NA,10998100,NA,0,NA,1
 Enterprise Application ,6,NA,37945000,NA,36745000,NA,1200000,NA,1
 Enterprise Purchasing ,2,NA,31300000,NA,19800000,NA,11500000,NA,1
 Estimation and Quoting ,1,NA,8.00E+05,NA,0,NA,0,NA,1
 Face Recognition ,5,NA,3150000,NA,1200000,NA,1800000,NA,1
 Farmers Market ,1,NA,5.00E+05,NA,0,NA,0,NA,1
 Farming ,1,NA,100,NA,0,NA,0,NA,1
 Film Production ,2,NA,5.25E+08,NA,0,NA,0,NA,1
 Financial Exchanges ,1,NA,1350000,NA,1350000,NA,0,NA,1
 Franchises ,1,NA,7.00E+06,NA,7.00E+06,NA,0,NA,1
 Freemium ,1,NA,130000,NA,0,NA,0,NA,1
 Funeral Industry ,1,NA,1250000,NA,0,NA,1250000,NA,1
 Gas ,2,NA,4.00E+05,NA,0,NA,2.00E+05,NA,1
 Golf Equipment ,1,NA,450000,NA,0,NA,450000,NA,1
 Google Glass ,1,NA,1.00E+05,NA,0,NA,0,NA,1
 Governance ,3,NA,8.00E+06,NA,8.00E+06,NA,0,NA,1
 Groceries ,4,NA,54800000,NA,52500000,NA,2300000,NA,1
 Group SMS ,1,NA,1500000,NA,1500000,NA,0,NA,1
 Heavy Industry ,3,NA,45299500,NA,3.80E+07,NA,0,NA,1
 Hedge Funds ,3,NA,1580000,NA,0,NA,1580000,NA,1
 Home Owners ,1,NA,22000,NA,0,NA,22000,NA,1
 Human Resource Automation ,6,NA,5872344,NA,2934844,NA,1500000,NA,1
 Industrial Energy Efficiency ,6,NA,24656275,NA,17570000,NA,0,NA,1
 Interface Design ,1,NA,3800000,NA,3800000,NA,0,NA,1
 Interior Design ,3,NA,5600000,NA,0,NA,5600000,NA,1
 Internet Infrastructure ,3,NA,5664000,NA,5.00E+06,NA,164000,NA,1
 Internet Radio Market ,1,NA,2500000,NA,2500000,NA,0,NA,1
 Internet Service Providers ,2,NA,37999998,NA,37999998,NA,0,NA,1
 Internet Technology ,3,NA,13485455,NA,12477054,NA,0,NA,1
 Knowledge Management ,1,NA,187500,NA,0,NA,0,NA,1
 Lifestyle Businesses ,1,NA,1100000,NA,0,NA,1100000,NA,1
 Lifestyle Products ,1,NA,17000,NA,0,NA,17000,NA,1
 Local Coupons ,1,NA,140000,NA,0,NA,140000,NA,1
 Logistics Company ,3,NA,3860000,NA,0,NA,2660000,NA,1
 mHealth ,2,NA,25000,NA,0,NA,20000,NA,1
 Mining Technologies ,1,NA,1500000,NA,0,NA,1500000,NA,1
 Mobile Analytics ,1,NA,1.00E+05,NA,0,NA,1.00E+05,NA,1
 Mobile Emergency&Health ,2,NA,290000,NA,30000,NA,260000,NA,1
 Mobile Social ,1,NA,58000,NA,0,NA,58000,NA,1
 Moneymaking ,1,NA,1.00E+05,NA,0,NA,1.00E+05,NA,1
 Motion Capture ,1,NA,421057,NA,421057,NA,0,NA,1
 Multi-level Marketing ,1,NA,3.50E+07,NA,0,NA,0,NA,1
 Music Venues ,1,NA,775000,NA,0,NA,775000,NA,1
 Natural Resources ,1,NA,1384000,NA,0,NA,1384000,NA,1
 Neuroscience ,2,NA,4.10E+07,NA,4.10E+07,NA,0,NA,1
 Office Space ,3,NA,465000,NA,0,NA,40000,NA,1
 Outdoors ,1,NA,250000,NA,0,NA,250000,NA,1
 Parking ,1,NA,6400000,NA,6400000,NA,0,NA,1
 PC Gaming ,6,NA,2258000,NA,0,NA,1508000,NA,1
 Personal Branding ,1,NA,50000,NA,0,NA,50000,NA,1
 Photo Editing ,3,NA,2.70E+07,NA,2.70E+07,NA,0,NA,1
 Plumbers ,5,NA,17750820,NA,11300000,NA,6450820,NA,1
 Product Search ,2,NA,4.00E+05,NA,0,NA,4.00E+05,NA,1
 Proximity Internet ,2,NA,4.10E+07,NA,4.10E+07,NA,0,NA,1
 Psychology ,1,NA,250000,NA,0,NA,0,NA,1
 Public Safety ,1,NA,16399999,NA,16399999,NA,0,NA,1
 Q&A ,1,NA,7.00E+06,NA,7.00E+06,NA,0,NA,1
 Quantitative Marketing ,3,NA,6.00E+06,NA,0,NA,4500000,NA,1
 Radical Breakthrough Startups ,2,NA,6500000,NA,5500000,NA,1.00E+06,NA,1
 Rapidly Expanding ,1,NA,2.00E+07,NA,2.00E+07,NA,0,NA,1
 Reading Apps ,1,NA,3.00E+06,NA,0,NA,0,NA,1
 Recipes ,7,NA,107500000,NA,100500000,NA,0,NA,1
 Registrars ,1,NA,3.00E+05,NA,0,NA,3.00E+05,NA,1
 Religion ,2,NA,32500000,NA,32500000,NA,0,NA,1
 Renewable Tech ,1,NA,745000,NA,0,NA,0,NA,1
 Rental Housing ,1,NA,6.00E+05,NA,0,NA,6.00E+05,NA,1
 Residential Solar ,2,NA,1500000,NA,0,NA,1500000,NA,1
 Retirement ,1,NA,2.00E+06,NA,0,NA,2.00E+06,NA,1
 RFID ,1,NA,2.00E+05,NA,2.00E+05,NA,0,NA,1
 RIM ,1,NA,2300000,NA,0,NA,0,NA,1
 Self Development ,1,NA,5.00E+05,NA,0,NA,5.00E+05,NA,1
 Self Storage ,2,NA,260000,NA,0,NA,260000,NA,1
 Senior Citizens ,1,NA,2100000,NA,2100000,NA,0,NA,1
 Service Industries ,4,NA,16820000,NA,10500000,NA,3550000,NA,1
 Sex ,2,NA,4800000,NA,4800000,NA,0,NA,1
 Social Investing ,5,NA,3230000,NA,0,NA,3230000,NA,1
 Social Opinion Platform ,2,NA,7.00E+06,NA,7.00E+06,NA,0,NA,1
 Space Travel ,3,NA,37500000,NA,22500000,NA,2500000,NA,1
 Specialty Chemicals ,5,NA,7.00E+07,NA,63500000,NA,0,NA,1
 Sunglasses ,2,NA,8.00E+05,NA,0,NA,8.00E+05,NA,1
 Synchronization ,2,NA,3675000,NA,0,NA,3540000,NA,1
 Taxis ,1,NA,118000,NA,0,NA,118000,NA,1
 Tea ,1,NA,182000,NA,0,NA,182000,NA,1
 Technical Continuing Education ,2,NA,870000,NA,0,NA,870000,NA,1
 Telephony ,3,NA,35265626,NA,8399999,NA,3.00E+06,NA,1
 Timeshares ,1,NA,5.00E+06,NA,0,NA,5.00E+06,NA,1
 Travel & Tourism ,4,NA,1.40E+07,NA,0,NA,0,NA,1
 TV Production ,1,NA,5.00E+07,NA,0,NA,0,NA,1
 Twin-Tip Skis ,1,NA,750000,NA,0,NA,750000,NA,1
 Universities ,2,NA,350000,NA,0,NA,3.00E+05,NA,1
 Vertical Search ,3,NA,1400000,NA,0,NA,8.00E+05,NA,1
 Virtual Goods ,2,NA,6.00E+06,NA,6.00E+06,NA,0,NA,1
 WebOS ,1,NA,2000,NA,0,NA,2000,NA,1
 Wind ,2,NA,1.40E+07,NA,1.40E+07,NA,0,NA,1
 Writers ,3,NA,345000,NA,0,NA,345000,NA,1
